Frame,Time (Seconds),Rotation X,Rotation Y,Rotation Z,Rotation W,Position X,Position Y,Position Z,Error Per Marker
136,1.36,0.656648,0.176103,-0.611545,-0.404738,0.911704,1.718884,-0.376321,0.024533
137,1.37,0.71109,0.284184,-0.572097,-0.293762,0.922142,1.711494,-0.378673,0.032066
138,1.38,0.65244,0.16992,-0.614816,-0.409207,0.911691,1.719204,-0.376086,0.024465
139,1.39,0.709452,0.281219,-0.574422,-0.296027,0.922178,1.711652,-0.378537,0.03203
140,1.4,0.651701,0.168797,-0.615504,-0.409813,0.911758,1.719263,-0.376005,0.024532
141,1.41,0.709507,0.281513,-0.574482,-0.295503,0.922242,1.711638,-0.37852,0.032012
142,1.42,0.652114,0.169561,-0.615445,-0.40893,0.91181,1.719213,-0.376033,0.024459
143,1.43,0.7098,0.28227,-0.57407,-0.294876,0.922312,1.711559,-0.378545,0.032067
144,1.44,0.652659,0.170474,-0.61491,-0.408486,0.911891,1.719145,-0.376051,0.024547
145,1.45,0.710308,0.283355,-0.573467,-0.293781,0.922361,1.711518,-0.378589,0.031986
146,1.46,0.653402,0.171452,-0.614981,-0.406778,0.911973,1.719179,-0.376083,0.024447
147,1.47,0.710687,0.283946,-0.573205,-0.292807,0.922451,1.711504,-0.378611,0.032056
148,1.48,0.653784,0.172174,-0.614366,-0.40679,0.912,1.719078,-0.37611,0.024503
149,1.49,0.710892,0.284667,-0.57279,-0.292419,0.922441,1.711437,-0.378643,0.032005
150,1.5,0.654282,0.172706,-0.614515,-0.405535,0.912048,1.719167,-0.376112,0.0245
151,1.51,0.711242,0.285042,-0.572594,-0.291585,0.922469,1.711503,-0.378645,0.032051
152,1.52,0.6546,0.173004,-0.614362,-0.405127,0.912054,1.719154,-0.37612,0.024424
153,1.53,0.711464,0.285299,-0.572312,-0.291346,0.922479,1.711487,-0.378631,0.032048
154,1.54,0.654646,0.173383,-0.613797,-0.405746,0.912024,1.71905,-0.376133,0.024552
155,1.55,0.711369,0.285613,-0.572154,-0.29158,0.922466,1.711407,-0.378666,0.031987
156,1.56,0.735983,0.351689,-0.53695,-0.215241,0.929107,1.706543,-0.380273,0.031994
157,1.57,0.690989,0.233417,-0.581898,-0.359786,0.912552,1.715555,-0.378615,0.023301
158,1.58,0.727551,0.31924,-0.547811,-0.262026,0.922659,1.709319,-0.380179,0.032041
159,1.59,0.743038,0.369304,-0.521592,-0.198626,0.929116,1.705323,-0.38114,0.03203
160,1.6,0.697253,0.244193,-0.575048,-0.351467,0.912433,1.714949,-0.379109,0.023272
161,1.61,0.729661,0.32349,-0.54425,-0.258344,0.922497,1.709063,-0.380431,0.032062
162,1.62,0.554819,0.025085,-0.639398,-0.531712,0.898239,1.728888,-0.372861,0.024473
163,1.63,,,,,,,,
164,1.64,0.569151,0.040296,-0.626058,-0.531502,0.894663,1.728508,-0.374348,0.023226
165,1.65,0.682602,0.219843,-0.591288,-0.368921,0.91311,1.716232,-0.377912,0.032068
166,1.66,0.640184,0.14719,-0.615944,-0.434871,0.907674,1.720949,-0.376031,0.024469
167,1.67,0.711544,0.284029,-0.570278,-0.296337,0.921168,1.711629,-0.378917,0.03198
168,1.68,0.661945,0.18557,-0.608737,-0.39602,0.912479,1.718285,-0.376577,0.024544
169,1.69,0.718877,0.302971,-0.562892,-0.273089,0.923857,1.710189,-0.379151,0.032078
170,1.7,0.741512,0.369457,-0.525544,-0.193558,0.930924,1.705165,-0.380768,0.032014
171,1.71,0.700981,0.253715,-0.574195,-0.338459,0.91448,1.714176,-0.379093,0.023232
172,1.72,0.733727,0.336538,-0.538667,-0.241296,0.924523,1.708017,-0.380598,0.032061
173,1.73,0.746758,0.383541,-0.512648,-0.180115,0.930819,1.704177,-0.381493,0.032023
174,1.74,0.704224,0.258704,-0.569494,-0.335883,0.913943,1.713922,-0.379399,0.023313
175,1.75,0.733667,0.334971,-0.538301,-0.244458,0.923794,1.708189,-0.380652,0.032036
176,1.76,0.674758,0.206463,-0.598553,-0.379223,0.912926,1.717057,-0.377333,0.024522
177,1.77,0.719655,0.303429,-0.560898,-0.274629,0.923073,1.710234,-0.379336,0.031987
178,1.78,0.660957,0.183677,-0.609898,-0.396766,0.912469,1.718475,-0.376483,0.024464
179,1.79,0.713449,0.290002,-0.569831,-0.286675,0.922756,1.711165,-0.378796,0.032029
180,1.8,0.736301,0.352585,-0.53655,-0.213677,0.929306,1.706497,-0.380287,0.032052
